id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1550882,Cozy apartment in upper mid-town,2788736,Alvaro,Toronto,St.Andrew-Windfields,43.7609,-79.39356,Entire home/apt,80,28,59,23-05-2024,0.45,1,206
1552251,"Private Bath, Large Room, Great Bed",8267190,Mable,Toronto,Annex,43.66923,-79.41685,Private room,59,28,46,03-01-2024,0.35,2,276
1560504,A gorgeous house in Queen West!,3400584,Maria,Toronto,Trinity-Bellwoods,43.64833,-79.40784,Entire home/apt,449,4,47,26-05-2024,0.36,1,231
1560977,Toronto Water Park City Luxury Suite,8306299,Zita,Toronto,Niagara,43.63744,-79.40523,Entire home/apt,170,28,425,15-03-2020,3.25,1,365
1562481,High-End Lakefront 2 Bed + Office Boutique Condo,1816495,Katharine,Toronto,Waterfront Communities-The Island,43.64031,-79.38185,Entire home/apt,275,28,52,26-06-2017,0.41,3,283
1564089,Quiet Bright 2 Bedroom Downtown!!!!,8300483,Michael,North York,Little Portugal,43.65181,-79.42994,Entire home/apt,100,28,7,05-12-2013,0.05,1,102
1578070,Unbeatable Downtown Location,5559775,Aleksandra,Toronto,Waterfront Communities-The Island,43.64487,-79.39468,Entire home/apt,499,28,16,15-08-2019,0.12,1,178
1594005,Stylish Modern Condo w/Queen Bed | CN Tower views!,6397676,Rahim,Toronto,Waterfront Communities-The Island,43.64625,-79.39106,Entire home/apt,300,2,128,12-05-2024,0.98,1,24
1604069,"Away to Relax! Lake View, 2nd floor, Private Bath",8546454,Marilyn Lucille,Toronto,Birchcliffe-Cliffside,43.69348,-79.25967,Private room,125,3,458,23-05-2024,3.5,1,172
1610027,Serviced spacious two bedrooms apartment,8569918,Sharon,Toronto,Yonge-Eglinton,43.70381,-79.40679,Entire home/apt,285,28,38,17-08-2023,0.29,36,65
1631083,Queen Room with Shared Bathroom,8569918,Sharon,North York,Yonge-Eglinton,43.70413,-79.40546,Private room,149,28,17,30-04-2024,0.13,36,140
1631386,Private Room in Downtown Toronto RM3,4297691,Graeme,Toronto,Dovercourt-Wallace Emerson-Junction,43.66368,-79.44037,Private room,88,1,419,02-06-2024,3.2,2,320
